File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Crc32.cs,107,86,51,15,21,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Crypto.cs,173,139,86,12,9,0,25,134,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\DatabaseModel.cs,19095,17216,8639,1649,1801,0,78,1436,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\AlertChecker.cs,508,465,266,78,34,3,9,41,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\AlertEvaluator.cs,395,257,171,43,43,0,95,253,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\DatabaseModel.cs,5335,4527,2747,811,536,70,272,1060,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\EntityFactory.cs,205,167,94,26,12,1,26,69,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\ErrorInfo.cs,70,59,31,4,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\OptionHandler.cs,214,185,112,48,29,2,0,2,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Implementation\ValidationErrorEvent.cs,26,22,14,0,4,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Properties\Resources.Designer.cs,472,261,155,48,54,1,157,829,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\IDataValidator.cs,24,21,17,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\InvoiceLineValidator.cs,108,88,54,16,18,0,2,15,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\InvoiceValidator.cs,109,62,32,6,18,0,29,75,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\SalesTransactionValidator.cs,109,90,49,13,19,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\TankFillingValidator.cs,158,74,40,10,24,0,60,180,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\TankValidator.cs,69,53,29,8,15,0,1,3,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Data\Validators\ValidatorContainer.cs,105,90,67,13,14,0,1,4,0,0
